id,value
atención en salud,
atención en salud.nariz boca y faringe,
atención en salud.nariz boca y faringe.PX en nariz boca y faringe,933
atención en salud.nariz boca y faringe.PX e intervenciones en lengua,57
atención en salud.nariz boca y faringe.PX en amígdalas y adenoides,581
atención en salud.nariz boca y faringe.PX en dientes,32691
atención en salud.nariz boca y faringe.PX en dientes encías y alveolos,4516
atención en salud.nariz boca y faringe.PX en faringe,64
atención en salud.nariz boca y faringe.PX en glándulas y conductos salivales,65
atención en salud.nariz boca y faringe.PX en nariz,1481
atención en salud.nariz boca y faringe.PX en senos paranasales,1
atención en salud.sistema auditivo,
atención en salud.sistema auditivo.otros PX en el oído medio y el oído interno,524
atención en salud.sistema auditivo.PX en oído externo,105
atención en salud.sistema auditivo.PX reconstructivos en oído medio,53
atención en salud.sistema circulatorio,
atención en salud.sistema circulatorio.otros PX en vasos sanguíneos,3116
atención en salud.sistema circulatorio.PX en corazón y pericardio,456
atención en salud.sistema circulatorio.PX en vasos cardíacos (coronarias),283
atención en salud.sistema circulatorio.PX en vasos sanguíneos (incisión escisión y oclusión),1430
atención en salud.sistema circulatorio.PX en válvulas del corazón,116
atención en salud.sistema digestivo,
atención en salud.sistema digestivo.otras PX en el estómago,293
atención en salud.sistema digestivo.otros PX en abdomen,3138
atención en salud.sistema digestivo.otros PX en intestino,292
atención en salud.sistema digestivo.PX en ano,227
atención en salud.sistema digestivo.PX en apéndice,107
atención en salud.sistema digestivo.PX en estómago,264
atención en salud.sistema digestivo.PX en esófago,215
atención en salud.sistema digestivo.PX en hígado,57
atención en salud.sistema digestivo.PX en intestino,10719
atención en salud.sistema digestivo.PX en pared abdominal,811
atención en salud.sistema digestivo.PX en páncreas,45
atención en salud.sistema digestivo.PX en recto rectosigmoide y tejido perirrectal,213
atención en salud.sistema digestivo.PX en vesícula biliar y tracto biliar,758
atención en salud.sistema endocrino,
atención en salud.sistema endocrino.PX en las glándulas tiroides y paratiroides,313
atención en salud.sistema endocrino.PX en otras glándulas endocrinas,23
atención en salud.sistema hematico y linfatico,
atención en salud.sistema hematico y linfatico.PX en el sistema linfático,306
atención en salud.sistema hematico y linfatico.PX en médula ósea y bazo,153
atención en salud.sistema nervioso,
atención en salud.sistema nervioso.otros PX en cráneo cerebro o meninges cerebrales,1419
atención en salud.sistema nervioso.PX en cráneo cerebro y meninges cerebrales,467
atención en salud.sistema nervioso.PX en médula espinal y estructuras del canal raquídeo,607
atención en salud.sistema nervioso.PX en nervios craneales y periféricos,749
atención en salud.sistema nervioso.PX en nervios o ganglios simpáticos,449
atención en salud.sistema osteomuscular,
atención en salud.sistema osteomuscular.otros PX en huesos excepto huesos faciales,2062
atención en salud.sistema osteomuscular.otros PX en sistema osteomuscular,283
atención en salud.sistema osteomuscular.PX de reparación y plastias en estructuras de la articulación,3830
atención en salud.sistema osteomuscular.PX en estructuras de articulación,1414
atención en salud.sistema osteomuscular.PX en huesos no faciales,3266
atención en salud.sistema osteomuscular.PX en huesos y articulaciones faciales,1660
atención en salud.sistema osteomuscular.PX en músculo tendón fascia y bursa excepto mano,2551
atención en salud.sistema osteomuscular.PX en tendones músculos y fascia de mano,1349
atención en salud.sistema osteomuscular.reducción de fractura y luxación,10369
atención en salud.sistema reproductor femenino,
atención en salud.sistema reproductor femenino.otros PX de atención e inducción del parto vaginal,1530
atención en salud.sistema reproductor femenino.otros PX e intervenciones obstétricos,429
atención en salud.sistema reproductor femenino.otros PX en útero y estructuras de soporte,1497
atención en salud.sistema reproductor femenino.PX e intervenciones en parto abdominal,667
atención en salud.sistema reproductor femenino.PX e intervenciones en parto vaginal,27
atención en salud.sistema reproductor femenino.PX en cuello uterino,118
atención en salud.sistema reproductor femenino.PX en ovario,242
atención en salud.sistema reproductor femenino.PX en trompas de falopio,1027
atención en salud.sistema reproductor femenino.PX en vagina y fondo de saco,493
atención en salud.sistema reproductor femenino.PX en vulva y periné,111
atención en salud.sistema reproductor femenino.PX en útero,252
atención en salud.sistema reproductor masculino,
atención en salud.sistema reproductor masculino.PX en cordón espermático epidídimo y conducto deferente,405
atención en salud.sistema reproductor masculino.PX en escroto y túnica vaginalis,90
atención en salud.sistema reproductor masculino.PX en pene,409
atención en salud.sistema reproductor masculino.PX en próstata y vesículas seminales,366
atención en salud.sistema reproductor masculino.PX en testículo,148
atención en salud.sistema respiratorio,
atención en salud.sistema respiratorio.otros PX en bronquio y pulmón,424
atención en salud.sistema respiratorio.PX en bronquio y pulmón,44
atención en salud.sistema respiratorio.PX en laringe,150
